Date,Open,High,Low,Close*,
"Jul 15, 2022",292,294,289.5,293.55,
"Jul 14, 2022",294.3,296.35,289.15,290.85,
"Jul 13, 2022",293,294.8,292.7,294.05,
"Jul 12, 2022",293,295.35,290.9,292.7,
"Jul 11, 2022",293,296.95,292.05,295,
"Jul 08, 2022",292.9,294.45,290.4,293.05,
"Jul 07, 2022",291,293.15,288.5,291.95,
"Jul 06, 2022",286.1,290,285.3,289.3,
"Jul 05, 2022",293,293,285.75,286.9,
"Jul 04, 2022",285.65,293.3,284.8,291.9,
"Jul 01, 2022",273.5,285,271.2,284.35,
"Jun 30, 2022",273.95,274.7,272,273.5,
"Jun 29, 2022",269.25,275,269.15,274.05,
"Jun 28, 2022",268.9,272.25,268.55,271.85,
"Jun 27, 2022",267,270.65,266.5,269.95,
"Jun 24, 2022",266.1,268.35,265.2,265.85,
"Jun 23, 2022",265.5,267.25,262.4,265.5,
"Jun 22, 2022",267,270.3,264.9,265.3,
"Jun 21, 2022",265,270.85,264.1,269.9,
"Jun 20, 2022",263.3,266.15,261.35,264.1,
"Jun 17, 2022",259,264.15,258.55,263.3,
"Jun 16, 2022",267,267.9,259.5,260.7,
"Jun 15, 2022",266,267.3,263.05,263.4,
"Jun 14, 2022",263.2,267.45,263.05,265.45,
"Jun 13, 2022",266.4,269.1,263,264.65,
"Jun 10, 2022",269.05,271,268.75,270.15,
"Jun 09, 2022",267.8,271.7,265.75,270.85,
"Jun 08, 2022",273.95,274.4,266.2,267.9,
"Jun 07, 2022",273.2,275,272.25,273.9,
"Jun 06, 2022",272.4,275.8,269.7,274.8,
"Jun 03, 2022",275,275.7,271.6,272.7,
"Jun 02, 2022",270.7,274.45,267.85,273.5,
"Jun 01, 2022",270.65,274.1,270.2,271.85,
"May 31, 2022",269.05,274.5,266.4,270.65,
"May 30, 2022",270.5,271,267.6,269.05,
"May 27, 2022",269,270.7,265.05,269.2,
"May 26, 2022",268.25,268.25,263.85,266.7,
"May 26, 2022",6.25 Dividend,,,,
"May 25, 2022",272.95,273.9,270.5,272.7,
"May 24, 2022",275,275,270,270.85,
"May 23, 2022",280,280.45,273.05,274.5,
"May 20, 2022",277,282.35,277,280,
"May 19, 2022",262.6,279.25,262.6,275.65,
"May 18, 2022",266,267.8,263.15,266.8,
"May 17, 2022",255,265.5,254.8,264.7,
"May 16, 2022",259.95,259.95,253,254.1,
"May 13, 2022",254.95,260.85,254.5,258.6,
"May 12, 2022",255,256.4,249.15,252.9,
"May 11, 2022",259,262.2,251.75,255.65,
"May 10, 2022",262,266.8,259.1,259.75,
"May 09, 2022",266.15,266.15,260.55,262.95,
"May 06, 2022",259,267.35,258.9,266.65,
"May 05, 2022",262,265.2,260.4,262.05,
"May 04, 2022",264,266.05,258.6,259.75,
"May 02, 2022",258,264.5,257.05,263.15,
"Apr 29, 2022",263,263,258.5,259.55,
"Apr 28, 2022",259.5,263.7,258.15,261.1,
"Apr 27, 2022",256.2,258.5,255.75,257.5,
"Apr 26, 2022",256.6,260.7,256.25,258.95,
"Apr 25, 2022",258.8,259,252.5,255.25,
"Apr 22, 2022",260,263,258.55,261.1,
"Apr 21, 2022",259.7,264.45,259.6,260.4,
"Apr 20, 2022",262.9,265.45,257.55,259.55,
"Apr 19, 2022",272,272.5,258.8,261.55,
"Apr 18, 2022",268,272.5,267.25,270.1,
"Apr 13, 2022",265.3,270.6,263.65,269.55,
"Apr 12, 2022",266.9,268.65,263.1,264.8,
"Apr 11, 2022",268.75,273.15,266,267.5,
"Apr 08, 2022",258,268.85,256,267.8,
"Apr 07, 2022",258,262.2,255.8,256.65,
"Apr 06, 2022",257.5,263.35,257.3,259.6,
"Apr 05, 2022",256.05,261.85,255.1,259.45,
"Apr 04, 2022",253.1,257.9,251.1,255.45,
"Apr 01, 2022",250,255.35,248.8,253.3,
"Mar 31, 2022",249.6,254.35,249.5,250.65,
"Mar 30, 2022",255.1,256.4,248.65,249.2,
"Mar 29, 2022",257.05,257.5,253.75,254.6,
"Mar 28, 2022",254,258,252.55,257.05,
"Mar 25, 2022",255.3,255.75,249.25,253.35,
"Mar 24, 2022",251.95,256.5,251.45,254.85,
"Mar 23, 2022",251.45,253.7,248.5,252,
"Mar 22, 2022",244.55,250.75,243.55,249.75,
"Mar 21, 2022",245.9,247.75,243.8,244.5,
"Mar 17, 2022",245.25,245.4,242.7,244.9,
"Mar 16, 2022",240,243,239.1,242.6,
"Mar 15, 2022",239,241.4,235.9,237.85,
"Mar 14, 2022",236.25,239.45,235.3,239,
"Mar 11, 2022",231.9,237.1,230.15,236.35,
"Mar 10, 2022",231,232.5,227.85,232,
"Mar 09, 2022",227.7,231.4,226.1,229.25,
"Mar 08, 2022",223.9,228.45,223.75,226.9,
"Mar 07, 2022",222,227,220.1,224.95,
"Mar 04, 2022",217.7,227.4,217,225.5,
"Mar 03, 2022",216.05,220.2,216,219.4,
"Mar 02, 2022",214.4,216.6,212.45,215.3,
"Feb 28, 2022",213.2,216.45,210.8,215.85,
"Feb 25, 2022",211.5,216.5,210.55,213.95,
"Feb 24, 2022",210,213.3,207,208.5,
"Feb 23, 2022",216.8,217.5,215.05,215.95,
"Feb 22, 2022",215,216.9,213,214.85,
"Feb 21, 2022",220.3,221.3,217.15,218,
"Feb 18, 2022",222.65,223.45,221.5,221.9,
"Feb 17, 2022",223.05,224.35,220.85,222.65,
"Feb 16, 2022",223.8,224.7,221.85,222.75,
"Feb 15, 2022",221,223.5,218.55,223,
"Feb 14, 2022",226,226,218.5,219.45,
"Feb 14, 2022",5.25 Dividend,,,,
"Feb 11, 2022",232,233.3,229.8,232.45,
"Feb 10, 2022",228.7,233.4,227.75,232.25,
"Feb 09, 2022",232.3,233,228.75,230.15,
"Feb 08, 2022",230.3,232.3,229.05,231.25,
"Feb 07, 2022",234,234.75,228.5,230.2,
